ID,title,author_surname,author_name,curator_surname,curator_name,institution_name,institution_lat,institution_lng,located_at,location_geonames_id,location_lat,location_lng,part_of,institution_website,date,language,URL,epoch,branch,writing_support,facsimiles,advanced_search,index,glossary,encoding,download,creative_commons_license,,
23,"Rudolf Carnap Digital""",Carnap,Rudolf,Rendl,Lois M.,Institut Wiener Kreis (Universität Wien),48.210033,16.363449,Vienna,2761369,48.210033,16.363449,Austria,https://wienerkreis.univie.ac.at/,2022,"""GER""",https://valep.vc.univie.ac.at/valepPlus/project/62,Contemporary,"Philosophy of Computing, Logic, Epistemology, Philosophy of Science","Manuscript, Book, letter, memo",yes,yes,no,no,XML-TEI,yes,yes / restricted for images,,
23,"Rudolf Carnap Digital""",Carnap,Rudolf,Jordan,Roman,Institut Wiener Kreis (Universität Wien),48.210033,16.363449,Vienna,2761369,48.210033,16.363449,Austria,https://wienerkreis.univie.ac.at/,2022,"""GER""",https://valep.vc.univie.ac.at/valepPlus/project/62,Contemporary,"Philosophy of Computing, Logic, Epistemology, Philosophy of Science","Manuscript, Book, letter, memo",yes,yes,no,no,XML-TEI,yes,yes / restricted for images,,
24,Four Early Chan Texts from Dunhuang – A TEI-based Edition 早期禪宗文獻四部,,,Bingenheimer,Marcus,Shin Wen Feng 新文豐,25.033,121.5654,Taipei,1668341,25.033,121.5654,Taiwan,https://www.swfc.com.tw/,2018,"""CHI""",https://zenodo.org/record/1133490,Medieval,"Philosophy of Religion, Ethics, Philosophical Anthropology",Manuscript,yes,no,no,no,XML-TEI,yes,yes,,
24,Four Early Chan Texts from Dunhuang – A TEI-based Edition 早期禪宗文獻四部,,,Po-Yung,Chang,Shin Wen Feng 新文豐,25.033,121.5654,Taipei,1668341,25.033,121.5654,Taiwan,https://www.swfc.com.tw/,2018,"""CHI""",https://zenodo.org/record/1133490,Medieval,"Philosophy of Religion, Ethics, Philosophical Anthropology",Manuscript,yes,no,no,no,XML-TEI,yes,yes,,
25,"
A. C. Chavannes et sa ""Science générale de l'homme"" (1788)",Chavannes,Alexandre César,Grosse,Christian,"Christian Grosse, Béla Kapossy",46.519653,6.632273,Lausanne,2660646,46.519653,6.632273,Switzerland,https://lumieres.unil.ch/fiches/biblio/9469/,2019,"""FRE""",https://lumieres.unil.ch/projets/chavannes/,Modern,"Philosophy of Religion, Practical Philosophy",Book,no,no,no,no,HTML,no,not provided,,
25,"
A. C. Chavannes et sa ""Science générale de l'homme"" (1788)",Chavannes,Alexandre César,Kapossy,Béla,"Christian Grosse, Béla Kapossy",46.519653,6.632273,Lausanne,2660646,46.519653,6.632273,Switzerland,https://lumieres.unil.ch/fiches/biblio/9469/,2019,"""FRE""",https://lumieres.unil.ch/projets/chavannes/,Modern,"Philosophy of Religion, Practical Philosophy",Book,no,no,no,no,HTML,no,not provided,,
26,Ferdinand Ebner: Gesammelte Werke. Online Edition,Ebner,Ferdinand,Hörmann,Richard ,Universität Salzburg,47.80949,13.05501,Salzburg,2778065,47.80949,13.05501,Austria,https://www.plus.ac.at/,2014,"""GER""",http://wfe.sbg.ac.at/exist/apps/Frontpage/index.html,Contemporary,Philosophy of Language,"Works, letters, notes, poems",no,yes,yes,no,TEI/XML,no,yes,,
27,Giambattista Vico: Orationes. Digital ed. of the ms. XIII B 55 of the National Library of Naples,Vico,Giambattista,Colangelo,Maria Luisa ,Basilicata University Press,40.639722,15.805556,Potenza,3175395,40.639722,15.805556,Italy,https://bup.unibas.it/,2020,"""LAT""",https://eng-bup.unibas.it/library/DH,Modern,"Philosophy of History, Philosophy of Culture, Political Philosophy",Manuscript,vico,yes,yes,,XML-TEI,yes,yes,,
28,EvQ,,,Nasser,Shady Hekmat ,Harvard University,42.377,-71.1167,Cambridge,4930956,42.3736,-71.1097,USA,https://www.harvard.edu,2023,"""ARA""",https://erquran.org,Medieval,"Philosophy of Religion, Moral Philosophy",Work,no,yes,no,no,HTML,no,not provided,,
29,"
Stephanus Galdeti: Contra scismaticos Pars 3",Galdeti,Stephanus,Maga,Mihai,Babeș-Bolyai University,46.76938,23.58997,Cluj-Napoca,686963,46.77,23.59,Romania,https://www.ubbcluj.ro/en/,2024,"""LAT""",https://www.dhcluj.ro/digitaleditions/,Medieval,"Moral Philosophy, Philosophy of Religion","Manuscript, Book",yes,yes,no,no,XML-TEI,only image,not provided,,
